Away,HW,Home,Total_Runs,awayRuns,date,homeRuns
Boston Red Sox,1,New York Yankees,8,3,April 17 2019,5
Houston Astros,1,Oakland Athletics,3,1,April 17 2019,2
New York Mets,1,Philadelphia Phillies,5,2,April 17 2019,3
Cleveland Indians,0,Seattle Mariners,1,1,April 17 2019,0
Baltimore Orioles,1,Tampa Bay Rays,9,1,April 17 2019,8
Los Angeles Angels,1,Texas Rangers,9,4,April 17 2019,5
San Francisco Giants,1,Washington Nationals,15,6,April 17 2019,9
Seattle Mariners,0,Los Angeles Angels,21,11,April 18 2019,10
Arizona D'Backs,0,Atlanta Braves,5,4,April 18 2019,1
Philadelphia Phillies,1,Colorado Rockies,8,2,April 18 2019,6
Chicago White Sox,1,Detroit Tigers,16,7,April 18 2019,9
Los Angeles Dodgers,0,Milwaukee Brewers,4,3,April 18 2019,1
Toronto Blue Jays,0,Minnesota Twins,11,7,April 18 2019,4
Kansas City Royals,0,New York Yankees,7,6,April 18 2019,1
Cincinnati Reds,0,San Diego Padres,5,4,April 18 2019,1
Baltimore Orioles,0,Tampa Bay Rays,11,6,April 18 2019,5
San Francisco Giants,1,Washington Nationals,6,2,April 18 2019,4
Seattle Mariners,0,Los Angeles Angels,8,5,April 19 2019,3
Arizona D'Backs,1,Chicago Cubs,6,1,April 19 2019,5
Philadelphia Phillies,1,Colorado Rockies,7,3,April 19 2019,4
Chicago White Sox,0,Detroit Tigers,10,7,April 19 2019,3
Washington Nationals,1,Miami Marlins,5,2,April 19 2019,3
Los Angeles Dodgers,0,Milwaukee Brewers,8,5,April 19 2019,3
Kansas City Royals,1,New York Yankees,8,2,April 19 2019,6
Toronto Blue Jays,0,Oakland Athletics,6,5,April 19 2019,1
San Francisco Giants,1,Pittsburgh Pirates,5,1,April 19 2019,4
Cincinnati Reds,0,San Diego Padres,5,3,April 19 2019,2
New York Mets,0,St. Louis Cardinals,9,5,April 19 2019,4
Boston Red Sox,0,Tampa Bay Rays,10,6,April 19 2019,4
Houston Astros,0,Texas Rangers,9,7,April 19 2019,2
Seattle Mariners,0,Los Angeles Angels,11,6,April 20 2019,5
Minnesota Twins,0,Baltimore Orioles,11,6,April 20 2019,5
Minnesota Twins,0,Baltimore Orioles,23,16,April 20 2019,7
Arizona D'Backs,0,Chicago Cubs,6,6,April 20 2019,0
Atlanta Braves,1,Cleveland Indians,12,4,April 20 2019,8
Atlanta Braves,0,Cleveland Indians,15,8,April 20 2019,7
Philadelphia Phillies,0,Colorado Rockies,13,8,April 20 2019,5
Washington Nationals,1,Miami Marlins,12,3,April 20 2019,9
Los Angeles Dodgers,1,Milwaukee Brewers,5,0,April 20 2019,5
Kansas City Royals,1,New York Yankees,11,2,April 20 2019,9
Toronto Blue Jays,0,Oakland Athletics,11,10,April 20 2019,1
San Francisco Giants,1,Pittsburgh Pirates,4,1,April 20 2019,3
Cincinnati Reds,0,San Diego Padres,6,4,April 20 2019,2
New York Mets,1,St. Louis Cardinals,12,2,April 20 2019,10
Boston Red Sox,0,Tampa Bay Rays,11,6,April 20 2019,5
Houston Astros,1,Texas Rangers,13,4,April 20 2019,9
Seattle Mariners,1,Los Angeles Angels,14,6,April 21 2019,8
Minnesota Twins,0,Baltimore Orioles,7,4,April 21 2019,3
Arizona D'Backs,1,Chicago Cubs,3,1,April 21 2019,2
Atlanta Braves,0,Cleveland Indians,16,11,April 21 2019,5
Philadelphia Phillies,1,Colorado Rockies,5,1,April 21 2019,4
Chicago White Sox,1,Detroit Tigers,7,3,April 21 2019,4
Washington Nationals,0,Miami Marlins,5,5,April 21 2019,0
Los Angeles Dodgers,0,Milwaukee Brewers,11,6,April 21 2019,5
Kansas City Royals,1,New York Yankees,13,6,April 21 2019,7
Toronto Blue Jays,0,Oakland Athletics,9,5,April 21 2019,4
San Francisco Giants,0,Pittsburgh Pirates,5,3,April 21 2019,2
Cincinnati Reds,1,San Diego Padres,7,3,April 21 2019,4
New York Mets,1,St. Louis Cardinals,10,4,April 21 2019,6
Boston Red Sox,0,Tampa Bay Rays,7,4,April 21 2019,3
Houston Astros,1,Texas Rangers,21,10,April 21 2019,11
New York Yankees,0,Los Angeles Angels,7,4,April 22 2019,3
Chicago White Sox,0,Baltimore Orioles,14,12,April 22 2019,2
Washington Nationals,1,Colorado Rockies,12,5,April 22 2019,7
Minnesota Twins,0,Houston Astros,14,9,April 22 2019,5
Philadelphia Phillies,1,New York Mets,6,1,April 22 2019,5
Texas Rangers,1,Oakland Athletics,7,1,April 22 2019,6
Arizona D'Backs,0,Pittsburgh Pirates,16,12,April 22 2019,4
Milwaukee Brewers,1,St. Louis Cardinals,18,5,April 22 2019,13
Kansas City Royals,1,Tampa Bay Rays,9,3,April 22 2019,6
New York Yankees,0,Los Angeles Angels,12,7,April 23 2019,5
Chicago White Sox,1,Baltimore Orioles,10,1,April 23 2019,9
Detroit Tigers,0,Boston Red Sox,11,7,April 23 2019,4
Detroit Tigers,0,Boston Red Sox,6,4,April 23 2019,2
Los Angeles Dodgers,1,Chicago Cubs,9,2,April 23 2019,7
Atlanta Braves,1,Cincinnati Reds,13,6,April 23 2019,7
Miami Marlins,0,Cleveland Indians,4,3,April 23 2019,1
Washington Nationals,0,Colorado Rockies,9,6,April 23 2019,3
Minnesota Twins,1,Houston Astros,14,4,April 23 2019,10
Philadelphia Phillies,1,New York Mets,9,0,April 23 2019,9
Texas Rangers,1,Oakland Athletics,16,5,April 23 2019,11
Arizona D'Backs,0,Pittsburgh Pirates,3,2,April 23 2019,1
Seattle Mariners,1,San Diego Padres,9,3,April 23 2019,6
Milwaukee Brewers,1,St. Louis Cardinals,7,3,April 23 2019,4
Kansas City Royals,1,Tampa Bay Rays,7,2,April 23 2019,5
San Francisco Giants,0,Toronto Blue Jays,13,7,April 23 2019,6
New York Yankees,0,Los Angeles Angels,11,6,April 24 2019,5
Chicago White Sox,1,Baltimore Orioles,7,3,April 24 2019,4
Detroit Tigers,1,Boston Red Sox,15,4,April 24 2019,11
Los Angeles Dodgers,1,Chicago Cubs,13,6,April 24 2019,7
Atlanta Braves,0,Cincinnati Reds,4,3,April 24 2019,1
Miami Marlins,1,Cleveland Indians,8,2,April 24 2019,6
Washington Nationals,1,Colorado Rockies,14,5,April 24 2019,9
Minnesota Twins,1,Houston Astros,8,1,April 24 2019,7
Philadelphia Phillies,0,New York Mets,6,6,April 24 2019,0
Texas Rangers,1,Oakland Athletics,11,5,April 24 2019,6
Arizona D'Backs,0,Pittsburgh Pirates,13,11,April 24 2019,2
Seattle Mariners,1,San Diego Padres,1,0,April 24 2019,1
Milwaukee Brewers,1,St. Louis Cardinals,7,2,April 24 2019,5
Kansas City Royals,0,Tampa Bay Rays,12,10,April 24 2019,2
San Francisco Giants,0,Toronto Blue Jays,4,4,April 24 2019,0
New York Yankees,1,Los Angeles Angels,16,5,April 25 2019,11
Detroit Tigers,1,Boston Red Sox,10,3,April 25 2019,7
Los Angeles Dodgers,0,Chicago Cubs,3,2,April 25 2019,1
Atlanta Braves,1,Cincinnati Reds,6,2,April 25 2019,4
Cleveland Indians,0,Houston Astros,3,2,April 25 2019,1
Miami Marlins,0,Philadelphia Phillies,4,3,April 25 2019,1
Arizona D'Backs,0,Pittsburgh Pirates,5,5,April 25 2019,0
Texas Rangers,1,Seattle Mariners,16,2,April 25 2019,14
Chicago Cubs,1,Arizona D'Backs,11,3,April 26 2019,8
Colorado Rockies,0,Atlanta Braves,12,8,April 26 2019,4
Detroit Tigers,1,Chicago White Sox,23,11,April 26 2019,12
Cleveland Indians,0,Houston Astros,9,6,April 26 2019,3
Los Angeles Angels,0,Kansas City Royals,6,5,April 26 2019,1
Pittsburgh Pirates,1,Los Angeles Dodgers,8,2,April 26 2019,6
Baltimore Orioles,1,Minnesota Twins,7,1,April 26 2019,6
Milwaukee Brewers,0,New York Mets,12,10,April 26 2019,2
Miami Marlins,1,Philadelphia Phillies,4,0,April 26 2019,4
Texas Rangers,1,Seattle Mariners,9,4,April 26 2019,5
New York Yankees,0,San Francisco Giants,10,7,April 26 2019,3
Cincinnati Reds,0,St. Louis Cardinals,13,12,April 26 2019,1
Oakland Athletics,1,Toronto Blue Jays,6,2,April 26 2019,4
San Diego Padres,0,Washington Nationals,7,4,April 26 2019,3
Chicago Cubs,0,Arizona D'Backs,10,9,April 27 2019,1
Colorado Rockies,0,Atlanta Braves,14,9,April 27 2019,5
Tampa Bay Rays,0,Boston Red Sox,3,2,April 27 2019,1
Cleveland Indians,1,Houston Astros,7,3,April 27 2019,4
Los Angeles Angels,1,Kansas City Royals,13,4,April 27 2019,9
Pittsburgh Pirates,1,Los Angeles Dodgers,4,1,April 27 2019,3
Baltimore Orioles,1,Minnesota Twins,11,2,April 27 2019,9
Milwaukee Brewers,0,New York Mets,14,8,April 27 2019,6
Miami Marlins,1,Philadelphia Phillies,21,9,April 27 2019,12
Texas Rangers,0,Seattle Mariners,16,15,April 27 2019,1
New York Yankees,0,San Francisco Giants,10,6,April 27 2019,4
Cincinnati Reds,1,St. Louis Cardinals,9,3,April 27 2019,6
Oakland Athletics,1,Toronto Blue Jays,8,1,April 27 2019,7
San Diego Padres,0,Washington Nationals,11,8,April 27 2019,3
Chicago Cubs,0,Arizona D'Backs,11,6,April 28 2019,5
Colorado Rockies,1,Atlanta Braves,15,7,April 28 2019,8
Tampa Bay Rays,0,Boston Red Sox,7,5,April 28 2019,2
Detroit Tigers,1,Chicago White Sox,5,1,April 28 2019,4
Cleveland Indians,1,Houston Astros,5,1,April 28 2019,4
Los Angeles Angels,0,Kansas City Royals,10,7,April 28 2019,3
