Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
13,37,35,10.2,48,93,24,21,9,22.5,8,10.4,42,Dec 29 2018,Washington Wizards,13,31,22,7.1,47,90,24,19,10,23.3,9,13.7,41,["Joe Chealey"|"J.P. Macura"|"Tony Parker"|"Dwight Howard"|"Jordan McRae"|"Otto Porter"|"Devin Robinson"|"John Wall"],["Tony Brothers"|"Kevin Cutler"|"J.T. Orr"],Charlotte Hornets,130,126
14,39,21,5.5,37,81,22,17,9,22.0,8,20.2,49,Dec 30 2018,Dallas Mavericks,9,38,17,4.8,40,93,21,14,7,14.9,15,9.7,39,["Alex Abrines"|"Deonte Burton"|"Donte Grantham"|"Andre Roberson"|"Kostas Antetokounmpo"|"Daryl Macon"|"Wesley Matthews"|"Ray Spalding"],["John Goble"|"Marat Kogut"|"Ashley Moyer-Gleich"],Oklahoma City Thunder,105,103
15,44,30,8.2,47,98,20,12,12,25.0,7,11.6,50,Dec 30 2018,Los Angeles Lakers,13,34,24,9.3,46,95,12,9,9,19.1,8,11.5,45,["Marvin Bagley"|"Wenyen Gabriel"|"Zach Randolph"|"Troy Williams"|"Michael Beasley"|"Alex Caruso"|"LeBron James"|"Rajon Rondo"],["Jacyn Goble"|"Eric Lewis"|"Kevin Scott"],Sacramento Kings,121,114
8,24,19,8.6,37,90,28,22,17,34.7,8,15.7,52,Dec 30 2018,Miami Heat,8,24,24,15.2,38,94,36,29,17,32.7,11,8.3,49,["Keita Bates-Diop"|"Derrick Rose"|"Jeff Teague"|"C.J. Williams"|"Goran Dragic"|"Yante Maten"|"Duncan Robinson"|"Dion Waiters"],["Mark Lindsay"|"Brett Nansel"|"Sean Wright"],Minnesota Timberwolves,104,113
7,24,21,6.6,40,85,24,22,9,20.9,7,12.0,45,Dec 30 2018,Orlando Magic,8,31,21,3.3,39,92,23,21,17,32.1,6,9.7,51,["Henry Ellenson"|"Keenan Evans"|"Zach Lofton"|"Ish Smith"|"Troy Caupain"|"Melvin Frazier"|"Amile Jefferson"|"Timofey Mozgov"],["Tony Brown"|"Jonathan Sterling"|"Ben Taylor"],Detroit Pistons,109,107
12,22,28,3.8,49,83,25,19,7,20.6,2,18.3,59,Dec 30 2018,Portland Trail Blazers,8,43,18,3.3,34,96,27,19,9,14.8,15,9.3,36,["Markelle Fultz"|"Shake Milton"|"Justin Patton"|"Zhaire Smith"|"Maurice Harkless"|"Gary Trent"],["Eric Dalen"|"Tyler Ford"|"Ed Malloy"],Philadelphia 76ers,129,95
9,33,17,13.3,34,92,20,18,17,31.5,5,9.8,52,Dec 30 2018,Toronto Raptors,7,20,16,3.4,33,80,18,16,7,16.7,7,15.4,44,["Rawle Alkins"|"Bobby Portis"|"Brandon Sampson"|"Denzel Valentine"|"Kyle Lowry"|"Jordan Loyd"|"Jonas Valanciunas"],["Brian Forte"|"Derek Richardson"|"Dedric Taylor"],Chicago Bulls,95,89
11,24,29,1.8,42,85,33,30,6,14.6,8,7.4,46,Dec 31 2018,Charlotte Hornets,10,35,22,8.2,38,92,19,14,13,24.5,6,9.9,48,["D.J. Augustin"|"Melvin Frazier"|"Timofey Mozgov"|"Jonathon Simmons"|"Dwayne Bacon"|"Joe Chealey"|"J.P. Macura"],["James Capers"|"Natalie Sago"|"Michael Smith"],Orlando Magic,125,100
18,41,19,7.0,31,70,45,33,7,17.5,5,12.6,46,Dec 31 2018,Houston Rockets,6,25,24,13.8,38,82,30,19,6,13.3,11,9.5,39,["Chandler Parsons"|"Ivan Rabb"|"Yuta Watanabe"|"Carmelo Anthony"|"Vince Edwards"|"James Ennis"|"Eric Gordon"|"Isaiah Hartenstein"|"Chris Paul"],["Matt Boland"|"Aaron Smith"|"Sean Wright"],Memphis Grizzlies,113,101
11,24,29,9.5,42,84,29,21,8,20.0,13,10.2,39,Dec 31 2018,Indiana Pacers,13,32,24,8.3,41,95,19,13,21,40.4,8,14.1,53,["Jaylen Adams"|"Kent Bazemore"|"Dewayne Dedmon"|"Taurean Waller-Prince"|"Omari Spellman"|"Ike Anigbogu"|"Alize Johnson"|"Edmond Sumner"],["Scott Twardoski"|"Justin Van Duyne"|"James Williams"],Atlanta Hawks,116,108
