age,guaranteed,name,signedUsing,team,y1,y2,y2option,y3,y3option,y4,y4option,y5,y5option,y6,y6option
26,$18634375,Dwight Powell,Cap Space,Dallas Mavericks,$9003125,$9631250,None,$10259375,Player,,None,,None,,None
39,$5000000,Dirk Nowitzki,Cap space,Dallas Mavericks,$5000000,$5000000,Team,,None,,None,,None,,None
23,$4187599,Nerlens Noel,1st Round Pick,Dallas Mavericks,$4187599,,None,,None,,None,,None,,None
33,$7614750,J.J. Barea,Cap Space,Dallas Mavericks,$3903900,$3710850,None,,None,,None,,None,,None
26,$3294994,Doug McDermott,1st Round Pick,Dallas Mavericks,$3294994,,None,,None,,None,,None,,None
20,$7038240,Dennis Smith,1st Round Pick,Dallas Mavericks,$3218280,$3819960,None,$4463640,Team,$5686677,Team,,None,,None
27,$3028410,Seth Curry,Room exception,Dallas Mavericks,$3028410,,None,,None,,None,,None,,None
31,$1471382,Salah Mejri,Minimum Salary,Dallas Mavericks,$1471382,,None,,None,,None,,None,,None
24,$1312611,Yogi Ferrell,Minimum Salary,Dallas Mavericks,$1312611,,None,,None,,None,,None,,None
24,$1312611,Dorian Finney-Smith,Minimum Salary,Dallas Mavericks,$1312611,$1544951,None,,None,,None,,None,,None
26,$815615,Maxi Kleber,Minimum Salary,Dallas Mavericks,$815615,$1378242,None,,None,,None,,None,,None
24,,Jameel Warney,10-Day Contract,Dallas Mavericks,$46080,,None,,None,,None,,None,,None
22,$50000,Johnathan Motley,Two-Way Contract,Dallas Mavericks,TBD,,None,,None,,None,,None,,None
26,,Kyle Collinsworth,Minimum Salary,Dallas Mavericks,,,None,,None,,None,,None,,None
24,TBD,Jalen Jones,Two-Way Contract,Dallas Mavericks,TBD,,None,,None,,None,,None,,None
31,$6021175,Josh McRoberts,,Dallas Mavericks,$6021175,,None,,None,,None,,None,,None
28,$350000,Jeff Withey,,Dallas Mavericks,$1577320,$1795015,None,,None,,None,,None,,None
30,$315760,Gal Mekel,,Dallas Mavericks,$315760,,None,,None,,None,,None,,None
26,$92160,Kyle Collinsworth,,Dallas Mavericks,$92160,,None,,None,,None,,None,,None
28,,Scotty Hopson,,Dallas Mavericks,$74159,,None,,None,,None,,None,,None
24,$50000,Antonius Cleveland,,Dallas Mavericks,$50000,,None,,None,,None,,None,,None
26,$50000,Kyle Collinsworth,,Dallas Mavericks,$50000,,None,,None,,None,,None,,None
24,$50000,Gian Clavell,,Dallas Mavericks,$50000,,None,,None,,None,,None,,None
33,$61000000,Paul Millsap,Cap space,Denver Nuggets,$31269231,$29730769,None,$30500000,Team,,None,,None,,None
28,$41000000,Mason Plumlee,Cap space,Denver Nuggets,$14041096,$12917808,None,$14041096,None,,None,,None,,None
28,$26685393,Kenneth Faried,1st Round Pick,Denver Nuggets,$12921348,$13764045,None,,None,,None,,None,,None
30,$12016854,Wilson Chandler,,Denver Nuggets,$12016854,$12800562,Player,,None,,None,,None,,None
29,$7464912,Darrell Arthur,Cap Space,Denver Nuggets,$7464912,$7464912,Player,,None,,None,,None,,None
35,$4402546,Devin Harris,Cap Space,Denver Nuggets,$4402546,,None,,None,,None,,None,,None
27,$3533333,Will Barton,Bird Rights,Denver Nuggets,$3533333,,None,,None,,None,,None,,None
21,$6855120,Jamal Murray,1st Round pick,Denver Nuggets,$3355320,$3499800,None,$4444746,Team,,None,,None,,None
23,$76550055,Gary Harris,1st Round Pick,Denver Nuggets,$2550055,$16517857,None,$17839286,None,$19160714,None,$20482143,None,,None
22,$5805649,Trey Lyles,1st round pick,Denver Nuggets,$2441400,$3364249,None,,None,,None,,None,,None
37,$2328652,Richard Jefferson,Minimum Salary,Denver Nuggets,$2328652,,None,,None,,None,,None,,None
22,$4243200,Juan Hernangomez,1st Round pick,Denver Nuggets,$2076840,$2166360,None,$3321030,Team,,None,,None,,None
21,$3474480,Malik Beasley,1st Round pick,Denver Nuggets,$1700640,$1773840,None,$2731714,Team,,None,,None,,None
21,$3454080,Tyler Lydon,1st Round Pick,Denver Nuggets,$1579440,$1874640,None,$2190720,Team,,None,,None,,None
23,$1471382,Nikola Jokic,,Denver Nuggets,$1471382,$1600520,Team,,None,,None,,None,,None
27,$50000,Torrey Craig,Two-Way Contract,Denver Nuggets,TBD,,None,,None,,None,,None,,None
22,$50000,Monte Morris,Two-Way Contract,Denver Nuggets,TBD,,None,,None,,None,,None,,None
36,$4736050,Jameer Nelson,,Denver Nuggets,$4736050,,None,,None,,None,,None,,None
28,$132217792,Blake Griffin,Bird Rights,Detroit Pistons,$29512900,$31873932,None,$34234964,None,$36595996,None,$38957028,Player,,None
24,$76302788,Andre Drummond,Cap Space,Detroit Pistons,$23775506,$25434263,None,$27093019,None,$28751775,Player,,None,,None
27,$51130434,Reggie Jackson,Bird Rights,Detroit Pistons,$16000000,$17043478,None,$18086956,None,,None,,None,,None
28,$30008043,Jon Leuer,Cap Space,Detroit Pistons,$10497319,$10002681,None,$9508043,None,,None,,None,,None
26,$21000000,Langston Galloway,MLE,Detroit Pistons,$6666667,$7000000,None,$7333333,None,,None,,None,,None
29,$12000000,Ish Smith,Cap Space,Detroit Pistons,$6000000,$6000000,None,,None,,None,,None,,None
32,$3290000,Anthony Tolliver,Bi-annual Exception,Detroit Pistons,$3290000,,None,,None,,None,,None,,None
21,$7038202,Stanley Johnson,1st round pick,Detroit Pistons,$3097800,$3940402,None,,None,,None,,None,,None
27,$3028410,James Ennis,Room exception,Detroit Pistons,$3028410,,None,,None,,None,,None,,None
21,$6034560,Luke Kennard,1st Round Pick,Detroit Pistons,$2759280,$3275280,None,$3827160,Team,$5273826,Team,,None,,None
26,$2500000,Reggie Bullock,Cap space,Detroit Pistons,$2500000,$2500000,None,,None,,None,,None,,None
36,$2262871,Jameer Nelson,,Detroit Pistons,$2262871,,None,,None,,None,,None,,None
21,$3638280,Henry Ellenson,1st Round pick,Detroit Pistons,$1780800,$1857480,None,$2856804,Team,,None,,None,,None
26,$1739333,Eric Moreland,MLE,Detroit Pistons,$1739333,$1826300,None,$1913267,None,,None,,None,,None
29,$748160,Dwight Buycks,Two-Way Converted,Detroit Pistons,$748160,$1600520,None,,None,,None,,None,,None
26,TBD,Reggie Hearn,Two-Way Contract,Detroit Pistons,TBD,,None,,None,,None,,None,,None
22,TBD,Kay Felder,Two-Way Contract,Detroit Pistons,TBD,,None,,None,,None,,None,,None
32,$16200000,Josh Smith,,Detroit Pistons,$5400000,$5400000,None,$5400000,None,,None,,None,,None
25,$500000,Michael Gbinije,,Detroit Pistons,$500000,,None,,None,,None,,None,,None
33,$452059,Aaron Gray,,Detroit Pistons,$452059,,None,,None,,None,,None,,None
24,$50000,Luis Montero,,Detroit Pistons,$50000,,None,,None,,None,,None,,None
35,$25000,Beno Udrih,,Detroit Pistons,$25000,,None,,None,,None,,None,,None
29,$201158790,Stephen Curry,Bird Rights,Golden State Warriors,$34682550,$37457154,None,$40231758,None,$43006362,None,$45780966,None,,None
29,$25000000,Kevin Durant,Non-Bird Rights,Golden State Warriors,$25000000,$26250000,Player,,None,,None,,None,,None
28,$36814875,Klay Thompson,1st Round Pick,Golden State Warriors,$17826150,$18988725,None,,None,,None,,None,,None
28,$52408695,Draymond Green,Bird Rights,Golden State Warriors,$16400000,$17469565,None,$18539130,None,,None,,None,,None
34,$48000000,Andre Iguodala,Bird Rights,Golden State Warriors,$14814815,$16000000,None,$17185185,None,,None,,None,,None
32,$18000000,Shaun Livingston,Bird Rights,Golden State Warriors,$7692308,$8307692,None,$7692308,None,,None,,None,,None
32,$5192000,Nick Young,MLE,Golden State Warriors,$5192000,,None,,None,,None,,None,,None
34,$3477600,Zaza Pachulia,,Golden State Warriors,$3477600,,None,,None,,None,,None,,None
37,$2328652,David West,Minimum Salary,Golden State Warriors,$2328652,,None,,None,,None,,None,,None
30,$2116955,JaVale McGee,,Golden State Warriors,$2116955,,None,,None,,None,,None,,None
29,$2106470,Omri Casspi,Minimum Salary,Golden State Warriors,$2106470,,None,,None,,None,,None,,None
22,$1471382,Kevon Looney,1st Round pick,Golden State Warriors,$1471382,,None,,None,,None,,None,,None
22,$2857562,Damian Jones,1st Round pick,Golden State Warriors,$1312611,$1544951,None,$2305057,Team,,None,,None,,None
22,$1312611,Patrick McCaw,Minimum Salary,Golden State Warriors,$1312611,,None,,None,,None,,None,,None
23,$2193867,Jordan Bell,Minimum Salary,Golden State Warriors,$815615,$1378252,None,,None,,None,,None,,None
25,$50000,Chris Boucher,Two-Way Contract,Golden State Warriors,TBD,,None,,None,,None,,None,,None
24,$50000,Quinn Cook,Two-Way Contract,Golden State Warriors,TBD,,None,,None,,None,,None,,None
31,$1890252,Jason Thompson,,Golden State Warriors,$945126,$945126,None,,None,,None,,None,,None
28,$181203253,James Harden,Bird Rights,Houston Rockets,$28299399,$30431854,None,$37800000,None,$40824000,None,$43848000,None,$46872000,Player
32,$24599495,Chris Paul,Bird Rights,Houston Rockets,$24599495,,None,,None,,None,,None,,None
29,$61264636,Ryan Anderson,Cap Space,Houston Rockets,$19578455,$20421546,None,$21264635,None,,None,,None,,None
29,$40501125,Eric Gordon,Cap Space,Houston Rockets,$12943020,$13500375,None,$14057730,None,,None,,None,,None
32,$26477799,P.J. Tucker,MLE,Houston Rockets,$7590035,$7969537,None,$8349039,None,$7969537,None,,None,,None
32,$7420912,Trevor Ariza,Bird Rights,Houston Rockets,$7420912,,None,,None,,None,,None,,None
