3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.152,22.3,1.8,1.0,0.6,12.6,2.5,.294,Dwyane Wade,0.4,3.8,0.9,18.5,2.4,11.3,8.1,.508,29.6,1.3,3.4,.090
.603,6.9,2.6,0.4,0.4,20.9,2.5,.205,Nikola Mirotic,-0.1,3.9,1.2,14.5,1.6,10.5,12.3,.546,19.8,1.0,3.8,.107
.023,6.5,2.6,-1.3,0.6,19.0,1.9,.225,Taj Gibson,-2.0,8.5,1.4,15.4,0.9,11.7,13.7,.549,19.2,0.3,3.3,.104
.402,6.5,0.3,-2.9,-2.0,11.7,0.8,.180,Doug McDermott,-0.9,1.4,1.1,11.3,0.5,7.4,6.5,.555,17.6,-0.2,1.9,.084
.000,5.7,1.3,0.0,0.6,19.5,1.3,.421,Cristiano Felicio,-0.6,12.8,2.1,15.3,1.2,11.2,16.1,.603,12.4,0.5,3.4,.158
.445,17.4,0.6,-0.3,-0.3,9.9,1.2,.243,Jerian Grant,0.0,1.8,1.4,13.2,2.3,11.7,5.8,.555,16.0,0.4,2.5,.119
.256,5.7,0.9,-3.0,-1.5,24.0,1.2,.157,Bobby Portis,-1.6,8.0,1.1,14.9,0.8,8.4,16.0,.545,19.1,-0.3,2.4,.114
.722,9.3,0.6,-2.7,-0.3,15.6,1.1,.063,Denzel Valentine,-2.4,1.2,-0.5,7.3,1.5,14.2,8.3,.492,15.4,-0.2,0.6,.031
.209,20.0,2.2,-2.4,1.7,16.6,1.3,.252,Michael Carter-Williams,-4.1,3.0,-1.0,9.9,2.3,16.3,9.8,.437,20.9,-0.1,0.2,.013
.448,6.1,1.5,-3.7,-0.1,14.2,0.8,.181,Paul Zipser,-3.6,1.9,-0.3,6.9,0.9,14.4,8.0,.503,14.4,-0.4,0.5,.030
.543,9.0,0.1,-3.4,-1.1,8.1,0.6,.191,Isaiah Canaan,-2.3,1.1,0.0,8.1,1.9,10.1,4.6,.483,15.4,-0.2,0.5,.042
.217,12.2,0.0,-4.0,-0.6,21.2,0.3,.163,Joffrey Lauvergne,-3.5,9.3,-0.2,11.6,1.5,14.0,15.2,.451,20.7,-0.1,0.1,.025
.540,16.2,0.0,-7.5,-2.5,12.2,0.1,.063,Cameron Payne,-5.0,0.8,-0.4,4.0,1.4,16.7,6.5,.417,23.9,-0.2,-0.3,-0.086
.483,10.4,0.0,-2.4,-4.4,1.2,0.0,.379,Anthony Morrow,2.0,1.2,0.3,16.0,1.2,0.0,1.2,.606,17.0,0.0,0.3,.190
1.000,0.0,0.0,-11.4,-2.0,12.1,0.0,.000,R.J. Hunter,-9.4,0.0,0.0,-3.2,0.0,0.0,6.0,.000,4.8,0.0,0.0,-0.088
